aabbbabbabaabaa aabaaaabbabaabb
aaabaabbaaaaaba aaabaaabaaaabaa
aaabaaabaaaabaa abaabaabaabbaaa
abaabaabaabbaaa aaabababbbbaabb
aaabababbbbaabb aaababbabbabbab
aaababbabbabbab aabbbbbbbababaa
aabbbbbbbababaa aabbbaabaababaa
aabbbaabaababaa ababaabbbbaaaba
ababaabbbbaaaba aabbbbabaaaabbb
aabbbbabaaaabbb aaabbbbbabbbbba
aaabbbbbabbbbba aaabbbbbabbabab
aaabbbbbabbabab abaaabbbbbbabbb
abaaabbbbbbabbb aabaabbbabbbbba
aabaabbbabbbbba aaaaabbaaabbabb
aaaaabbaaabbabb abaabbabbbaaaaa
abaabbabbbaaaaa ababbaabaaabbab
ababbaabaaabbab aabaaabbabaaaba
aabaaabbabaaaba abaababaababbaa
abaababaababbaa aabbaaabbbaaaba
aabbaaabbbaaaba aabbabbbaabbbab
aabbabbbaabbbab aabbaaaaaaabbab
aabbaaaaaaabbab aabbbbbaababbaa
aabbbbbaababbaa aaababaaaaaabba
aaababaaaaaabba ababbababbbabba
ababbababbbabba ababbaabaabbaab
ababbaabaabbaab aabbababaaababa
aabbababaaababa abaaabbabaaabbb
abaaabbabaaabbb abaaaabbabbaaaa
abaaaabbabbaaaa aaaabaababaabab
aaaabaababaabab abaabbaababaaab
abaabbaababaaab aabaabbbbbbbbbb
aabaabbbbbbbbbb aabbbabaaaaaabb
aabbbabaaaaaabb aabbaaaaabababa
aabbaaaaabababa aabbbbaabababbb
aabbbbaabababbb ababaababbbbaab
ababaababbbbaab aabbbabbabbaabb
aabbbabbabbaabb aabaabbabbabaab
aabaabbabbabaab aaabbababbbabba
aaabbababbbabba abaabaabbbabaab
abaabaabbbabaab aabbaabbaaababb
aabbaabbaaababb aabbabbaaaaabaa
aabbabbaaaaabaa aabbaaaabbaabba
aabbaaaabbaabba abaaabaaaaaabab
abaaabaaaaaabab aaaaaababaaabaa
aaaaaababaaabaa abaaaabaabaaaaa
abaaaabaabaaaaa aaaaabbabbbbaba
aaaaabbabbbbaba ababbaabaaabbba
ababbaabaaabbba aaabaaaabbbaaaa
aaabaaaabbbaaaa aababbbabbababa
aababbbabbababa abaabbaaababbba
abaabbaaababbba abaabaabbbaabaa
abaabaabbbaabaa aabababbabbaaba
aabababbabbaaba aaababaabababbb
aaababaabababbb aabbbbbabababba
aabbbbbabababba abaabbabaaabaab
abaabbabaaabaab aabbbabbbaabbba
aabbbabbbaabbba aaaabbbababbbbb
aaaabbbababbbbb abababaababbabb
abababaababbabb aaabbbbabababab
aaabbbbabababab aabaaababbbabbb
aabaaababbbabbb aaaaaaaabbbbaaa
aaaaaaaabbbbaaa ababbabbbabbaaa
ababbabbbabbaaa aabbbbabaaaabba
aabbbbabaaaabba aaaaaaaaaabaaba
aaaaaaaaaabaaba aabbaabbbbbbbba
aabbaabbbbbbbba aabababbaaabaaa
aabababbaaabaaa aababaababbaaba
aababaababbaaba abababababbaaaa
abababababbaaaa aabaabbbbbabaaa
aabaabbbbbabaaa abaabbaaabbbaba
abaabbaaabbbaba ababbbaaaaaabaa
ababbbaaaaaabaa aaaabbaababbbbb
aaaabbaababbbbb abaaababbaabbaa
abaaababbaabbaa ababaaababbbbaa
ababaaababbbbaa abababbbaaaaaaa
abababbbaaaaaaa ababaaababbaabb
ababaaababbaabb aababbabaabbaba
aababbabaabbaba ababbbaabaaabaa
ababbbaabaaabaa abaababbbabaaaa
abaababbbabaaaa abaabbbaabaabbb
abaabbbaabaabbb aaaaaaaabbbaaab
aaaaaaaabbbaaab aaabaaaaaaabbab
aaabaaaaaaabbab abaaabaabbbabab
abaaabaabbbabab aaabaabbabaaaaa
aaabaabbabaaaaa aaabaaaabababaa
aaabaaaabababaa aabaabbbbbbabab
aabaabbbbbbabab aaaaaaaabbabbab
aaaaaaaabbabbab abababbbababaaa
abababbbababaaa abaababaabaaabb
abaababaabaaabb aaabbaaaabaabbb
aaabbaaaabaabbb aaabababbbbbabb
aaabababbbbbabb aabbbbbbbababab
aabbbbbbbababab aabbaabbaaabbab
aabbaabbaaabbab aaaabbbabaababb
aaaabbbabaababb aabbbaaabbaabba
aabbbaaabbaabba aaabaababbababb
aaabaababbababb aaababbaaaaabba
aaababbaaaaabba abaaaaaabbbaaaa
abaaaaaabbbaaaa aaababbabaaabba
aaababbabaaabba aaababbbbbabbaa
aaababbbbbabbaa aabbaabbbabbaaa
aabbaabbbabbaaa aabbabaabbbaaab
aabbabaabbbaaab aababababaaabbb
aababababaaabbb abaaaabbbbaabbb
abaaaabbbbaabbb aababbabaaaaaab
aababbabaaaaaab aaaabbabbbbabaa
aaaabbabbbbabaa aabaabbbbbababb
aabaabbbbbababb abaabaaaababaab
abaabaaaababaab aababbabaaaaaaa
aababbabaaaaaaa aababbbbabababa
aababbbbabababa abaabbabbaabbab
abaabbabbaabbab abaabbaaaabaaba
abaabbaaaabaaba aababaababbabbb
aababaababbabbb aaabaabbaabbabb
aaabaabbaabbabb aaabaababbbabbb
aaabaababbbabbb aaaaaababbaaaba
aaaaaababbaaaba abaaabbbababaaa
abaaabbbababaaa abaabaabaaaabbb
abaabaabaaaabbb aabbabbabababbb
aabbabbabababbb aaabbbbaaaababa
aaabbbbaaaababa ababbabababaabb
ababbabababaabb abaabbbaaaabbba
abaabbbaaaabbba abaaaaabaaabbbb
abaaaaabaaabbbb aaabbbbbabbbaab
aaabbbbbabbbaab aabbabbbabbbabb
aabbabbbabbbabb ababbabbaaabbba
ababbabbaaabbba aaabbaaababbbab
aaabbaaababbbab aaaaaabababbaab
aaaaaabababbaab aabbabbaaababba
aabbabbaaababba abaaabbabbbaaaa
abaaabbabbbaaaa aabaabbabbabbba
aabaabbabbabbba aaaaaabbbaaabaa
aaaaaabbbaaabaa abaaabaaabbbaba
abaaabaaabbbaba aabbbaaaabbabaa
aabbbaaaabbabaa aaaabbbbaababbb
aaaabbbbaababbb aaabbababbbbaba
aaabbababbbbaba aaabaabaaaaabba
aaabaabaaaaabba abababbbbbababb
abababbbbbababb abaabbbababaaaa
abaabbbababaaaa aabababbababbba
aabababbababbba abaaaaabbbaaaab
abaaaaabbbaaaab aaababbbaabaaaa
aaababbbaabaaaa aabaabaabbabbab
aabaabaabbabbab aaabbabbaabaaab
aaabbabbaabaaab abaabaabbbbbabb
abaabaabbbbbabb aaaabbbbabbaaab
aaaabbbbabbaaab aaabbaababaaaaa
aaabbaababaaaaa abababaaaaaabaa
abababaaaaaabaa aaabbbaabbbaaba
aaabbbaabbbaaba aabbbaaabaaaaba
aabbbaaabaaaaba ababaaaabbbaabb
ababaaaabbbaabb ababbabbbabbbba
ababbabbbabbbba aaababbbbabbbaa
aaababbbbabbbaa ababaabaabaaaaa
ababaabaabaaaaa aaabaabbabbaaaa
aaabaabbabbaaaa aaaaabbbababaab
aaaaabbbababaab aabbbaaaaabbbba
aabbbaaaaabbbba aaababababbaaba
aaababababbaaba aaabbbabaabbaba
aaabbbabaabbaba aabaabbbaababba
aabaabbbaababba aaabbbbabbbaaba
aaabbbbabbbaaba aabbaaaababaabb
aabbaaaababaabb abaabababaaaaba
abaabababaaaaba abababaabbbbabb
abababaabbbbabb abaabaabbbbabbb
abaabaabbbbabbb aabaabaababaaba
aabaabaababaaba abaaababbbababb
abaaababbbababb aabbbaabbabaaab
aabbbaabbabaaab ababbaaabbabaab
ababbaaabbabaab abaaaabaababbab
abaaaabaababbab aaabbbbbabaaaab
aaabbbbbabaaaab aabaababbbbbbbb
aabaababbbbbbbb aababaabaaaabba
aababaabaaaabba aaababaababaabb
aaababaababaabb ababbaababbbaba
ababbaababbbaba aabaaaabaabbaab
aabaaaabaabbaab aaababaaaaaaaba
aaababaaaaaaaba aaaaabbbbaababa
aaaaabbbbaababa aaabaaaabaabbba
aaabaaaabaabbba aabaababbaaaabb
aabaababbaaaabb ababbabbbbabbaa
ababbabbbbabbaa aaaabaaabaaaaaa
aaaabaaabaaaaaa aaaaaaaabbbbbba
aaaaaaaabbbbbba ababaaabbaaaaab
ababaaabbaaaaab aababaabbbababa
aababaabbbababa aabbbbbabbbbbab
aabbbbbabbbbbab aaaabbababaabab
aaaabbababaabab aabbbababbbbaab
aabbbababbbbaab aababaaababbbba
aababaaababbbba ababbabaabababa
ababbabaabababa aaaabbbbabaaaba
aaaabbbbabaaaba aaaaabbaabbbbbb
aaaaabbaabbbbbb aaaaaabbaabbbab
aaaaaabbaabbbab aabbbabbbbbaaba
aabbbabbbbbaaba aaaabbaaabaaabb
aaaabbaaabaaabb aabbaabbaabbbab
aabbaabbaabbbab aabbaabbabbbbba
aabbaabbabbbbba abaaababaabbabb
abaaababaabbabb aabababababaaab
aabababababaaab abaaaabbbaabaab
abaaaabbbaabaab aabaaaabaabbbab
aabaaaabaabbbab aabbbaaabaababa
aabbbaaabaababa aabbbbaabaabaaa
aabbbbaabaabaaa abababbabbabbab
abababbabbabbab aaaabaabaabbaab
aaaabaabaabbaab ababbbaaaabbbab
ababbbaaaabbbab aababaaaabbbaba
aababaaaabbbaba aabaabbbbaaaaaa
aabaabbbbaaaaaa ababbbaabbabbbb
ababbbaabbabbbb aabbabababababb
aabbabababababb aabaaabbbaaaaba
aabaaabbbaaaaba ababaaaabbaabba
ababaaaabbaabba ababaaaaababbaa
ababaaaaababbaa ababaabbaabbabb
ababaabbaabbabb aaabbbaabbbbbab
aaabbbaabbbbbab abababbabbbaaba
abababbabbbaaba aaababbabababaa
aaababbabababaa abaabbbbaaabaaa
abaabbbbaaabaaa aabbbbbabbbaaab
aabbbbbabbbaaab aaaabbbbbbabbba
aaaabbbbbbabbba aabbbbabbbababa
aabbbbabbbababa abaabbaaaaaabab
abaabbaaaaaabab aaababbaabbbaaa
aaababbaabbbaaa aaabaaaabaaabba
aaabaaaabaaabba ababaabbbabbabb
ababaabbbabbabb ababaaabbbbbbbb
ababaaabbbbbbbb ababaaaaabaabba
ababaaaaabaabba aaaaaabaabbabaa
aaaaaabaabbabaa aaaabbbaabaaabb
aaaabbbaabaaabb abaaabaaaababbb
abaaabaaaababbb abaaaabababbbab
abaaaabababbbab aaaababaaababba
aaaababaaababba aaaabaabbbabbbb
aaaabaabbbabbbb aabbaaaabbabbaa
aabbaaaabbabbaa ababaaababaabaa
ababaaababaabaa ababbabbaabaabb
ababbabbaabaabb aaabbababaabbab
aaabbababaabbab aaababbbaababba
aaababbbaababba aabaaaaaaaabaaa
aabaaaaaaaabaaa abababbbaabaaab
abababbbaabaaab aaaabbbbabbabbb
aaaabbbbabbabbb aabbbaaaaabaaaa
aabbbaaaaabaaaa ababaabbbbaaaaa
ababaabbbbaaaaa aaabaaaabababbb
aaabaaaabababbb aaabaabbaaabbba
aaabaabbaaabbba abaaabbaaabbabb
abaaabbaaabbabb aaababbbaaaabaa
aaababbbaaaabaa ababbabbbbbaaba
ababbabbbbbaaba abaabbbbaabbbab
abaabbbbaabbbab aabaaaaaabbbaaa
aabaaaaaabbbaaa aaaaabaabbaabba
aaaaabaabbaabba aababaaabbbabab
aababaaabbbabab ababbaabbaababa
ababbaabbaababa aababbabaabbbab
aababbabaabbbab aabababbbaaaabb
aabababbbaaaabb aabbbaababaabbb
aabbbaababaabbb aaaaaaaaabaabaa
aaaaaaaaabaabaa aaaabaaaabbbbaa
aaaabaaaabbbbaa aabaaaaabbbbaaa
aabaaaaabbbbaaa abaaaaabbababbb
abaaaaabbababbb ababaabbabbbaba
ababaabbabbbaba aaababbbbabbabb
aaababbbbabbabb abaabaaaabbaaab
abaabaaaabbaaab aabbbbababaabbb
aabbbbababaabbb aabaaabaababbab
aabaaabaababbab aaaaabbaaaababa
aaaaabbaaaababa abaaabbbbbaaaab
abaaabbbbbaaaab aaaabababbaaabb
aaaabababbaaabb aaaaaaaabaababb
aaaaaaaabaababb abaababbabbbaba
abaababbabbbaba aabbabaaabababb
aabbabaaabababb aabbbbbbaaabbba
aabbbbbbaaabbba aabbbbaabaabaab
aabbbbaabaabaab aababbbbbbabaab
aababbbbbbabaab aaababaaabaabbb
aaababaaabaabbb aaaaabbabababab
aaaaabbabababab abababaaabaaaab
abababaaabaaaab aaaaaababbbbabb
aaaaaababbbbabb abaaababaaabbba
abaaababaaabbba abaabbbaabbaaba
abaabbbaabbaaba aaabaabbbbaaaba
aaabaabbbbaaaba abaababbaaabbba
abaababbaaabbba aabaabaabaabbbb
aabaabaabaabbbb abababbbaabaaaa
abababbbaabaaaa aabaaabaabbaaba
aabaaabaabbaaba aaaaabbaaababba
aaaaabbaaababba aabbabababbabbb
aabbabababbabbb aaabbbbbbbbaaab
aaabbbbbbbbaaab abaaabbabaabaaa
abaaabbabaabaaa aaabbbbbbababab
aaabbbbbbababab aaaaaabbbabaaaa
aaaaaabbbabaaaa aabbabababbbaaa
aabbabababbbaaa aababaabbaaabab
aababaabbaaabab aaabababbabaaba
aaabababbabaaba abaabbaabbbbaaa
abaabbaabbbbaaa aabaabbabbaabbb
aabaabbabbaabbb aaaaaabbabbbbbb
aaaaaabbabbbbbb aaabababbaaabba
aaabababbaaabba aaabbbaababbaaa
aaabbbaababbaaa aaababbaaabbbbb
aaababbaaabbbbb aaaaababbbaaaaa
aaaaababbbaaaaa abababbabbbaaab
abababbabbbaaab aababbaabbabbbb
aababbaabbabbbb aababaaabbabbaa
aababaaabbabbaa aaababbbaaaaaab
aaababbbaaaaaab abaabbaaaaaaaba
abaabbaaaaaaaba aaaaaabaaabbbab
aaaaaabaaabbbab aabbbaabbababab
aabbbaabbababab aaaaabbbaabbaab
aaaaabbbaabbaab aababbaaaaaaaab
aababbaaaaaaaab aabaaabaabaaaba
aabaaabaabaaaba aabbbbbbababaaa
aabbbbbbababaaa ababbabbabbbabb
ababbabbabbbabb aabbaaaaabbbbaa
aabbaaaaabbbbaa abababbbbbbaabb
abababbbbbbaabb aaabbaaababbaba
aaabbaaababbaba ababababaaaaaba
ababababaaaaaba aabbbaaaababbba
aabbbaaaababbba aababbbbbabbbbb
aababbbbbabbbbb ababaaaabaabbaa
ababaaaabaabbaa aabbabbaabbabba
aabbabbaabbabba aaaabbabbbbbaab
aaaabbabbbbbaab aabbababababbab
aabbababababbab ababbabaaabbaab
ababbabaaabbaab aabaababbbabaab
aabaababbbabaab aabaabaaaaaaaba
aabaabaaaaaaaba aabaaaabaabbabb
aabaaaabaabbabb aaaaaababaababa
aaaaaababaababa aababbabaabbaab
aababbabaabbaab abaabbbbbaabaaa
abaabbbbbaabaaa aaabaabbbbaabaa
aaabaabbbbaabaa aaaabbbbabababa
aaaabbbbabababa abaaaababaabaab
abaaaababaabaab aabbaaabbababaa
aabbaaabbababaa aaababbbbabbbbb
aaababbbbabbbbb aaabaabbbbabbba
aaabaabbbbabbba abababbaaabaaaa
abababbaaabaaaa abaababbbbbabab
abaababbbbbabab aaabaabbabbbbba
aaabaabbabbbbba aabaaaabbbbaaaa
aabaaaabbbbaaaa aaaaaabbaaabaaa
aaaaaabbaaabaaa aabbabababbbbaa
aabbabababbbbaa aaaababbaaabbab
aaaababbaaabbab aabbbaabbbaaaab
aabbbaabbbaaaab aaaaaaabaaabbba
aaaaaaabaaabbba aababaabaaababb
aababaabaaababb ababaabaabbbaba
ababaabaabbbaba aabbababbbaabba
aabbababbbaabba aaaaaabaabaabaa
aaaaaabaabaabaa abaababaaabbaaa
abaababaaabbaaa abaabbbbbabaabb
abaabbbbbabaabb aaababaaabbabab
aaababaaabbabab abaababaabaabbb
abaababaabaabbb ababaabaaaaaaab
ababaabaaaaaaab aabaaabbbbbabbb
aabaaabbbbbabbb aaaaabbbbbaaaba
aaaaabbbbbaaaba aabbbaaaababaab
aabbbaaaababaab aababaaaabbaaba
aababaaaabbaaba aaababbbaaaabba
aaababbbaaaabba aabbbaaabbbbaaa
aabbbaaabbbbaaa abababbababbaaa
abababbababbaaa aaababbbbbaaabb
aaababbbbbaaabb ababaaabaabbaaa
ababaaabaabbaaa aabbaaaabbbabba
aabbaaaabbbabba ababaababaaabba
ababaababaaabba aabbabbbbaabbaa
aabbabbbbaabbaa aaababbabbbbaaa
aaababbabbbbaaa aaaababbababbba
aaaababbababbba aabaabaaabbabbb
aabaabaaabbabbb ababbaaaabababa
ababbaaaabababa aabbbababbbabbb
aabbbababbbabbb ababbabaaabbabb
ababbabaaabbabb ababbbaabaabbaa
ababbbaabaabbaa aabaababaaabbab
aabaababaaabbab abaaaaaaabababb
abaaaaaaabababb abaaaabbbaaaabb
abaaaabbbaaaabb aabaaababaaaaab
aabaaababaaaaab aabaaababababaa
aabaaababababaa abaabaaaababbab
abaabaaaababbab aaababbaababbbb
aaababbaababbbb aaababaaaababbb
aaababaaaababbb aaaaabaabbbabaa
aaaaabaabbbabaa abababaababbbba
abababaababbbba aababbabaaaabab
aababbabaaaabab abababbaaabbbba
abababbaaabbbba aaaaabababbabbb
aaaaabababbabbb abaaabbaababbaa
abaaabbaababbaa abababbbbaababb
abababbbbaababb aabaaaaabbaaaaa
aabaaaaabbaaaaa abaabbaaaabbabb
abaabbaaaabbabb aaabbababbbabab
aaabbababbbabab abaaaabbaabbaba
abaaaabbaabbaba aabaaabbabaaabb
aabaaabbabaaabb aababbaabbaabaa
aababbaabbaabaa ababababaaaabaa
ababababaaaabaa aabaaabaaaababa
aabaaabaaaababa aaaaabbbbaaaabb
aaaaabbbbaaaabb aaaaaaaabbbaaba
aaaaaaaabbbaaba aaaabbabbaabbbb
aaaabbabbaabbbb aabbbbaaabababa
aabbbbaaabababa aaaaabaabbbbaaa
aaaaabaabbbbaaa abaaaaaabbbbbbb
abaaaaaabbbbbbb aaaaaaababbbbaa
aaaaaaababbbbaa aaaaabbbaaabbbb
aaaaabbbaaabbbb abaabaabbaababb
abaabaabbaababb aaabbbaababbbbb
aaabbbaababbbbb abaaabbabaaabba
abaaabbabaaabba abaabbbbbbbaabb
abaabbbbbbbaabb aaabaabbbaaaaab
aaabaabbbaaaaab abaabbabbbaabab
abaabbabbbaabab aabbabbabaabaaa
aabbabbabaabaaa aaabaababbaabab
aaabaababbaabab abaaabbbabababb
abaaabbbabababb aababbaaaaababb
aababbaaaaababb abaabababababbb
abaabababababbb aababbbabbbbabb
aababbbabbbbabb ababaaababbbaab
ababaaababbbaab aabababaabaabab
aabababaabaabab ababbaaabbaaaba
ababbaaabbaaaba ababaabaabbaaaa
ababaabaabbaaaa aaabbbaaabaabbb
aaabbbaaabaabbb abaabbbbbabbabb
abaabbbbbabbabb aaaaabbbbbbabbb
aaaaabbbbbbabbb abaaababaabaaaa
abaaababaabaaaa aaaabbaabbabbaa
aaaabbaabbabbaa ababaabaaabbabb
ababaabaaabbabb aabaaabbabbbbbb
aabaaabbabbbbbb aabbbbababbbbba
aabbbbababbbbba aaaabbbabbbbabb
aaaabbbabbbbabb abababaabaaaaab
abababaabaaaaab aaabaaabbabbaaa
aaabaaabbabbaaa abaabaaaabaaabb
abaabaaaabaaabb abababbbaabbbba
abababbbaabbbba aaabbbbabaaaaab
aaabbbbabaaaaab aaaabbabbaaaaaa
aaaabbabbaaaaaa aabababbbbbbbbb
aabababbbbbbbbb ababaabaaaabbab
ababaabaaaabbab abaaaaaabbaabaa
abaaaaaabbaabaa aabbaababbababa
aabbaababbababa aaaababbbaaabbb
aaaababbbaaabbb aaaabaaababbbaa
aaaabaaababbbaa aabbaabbbaababb
aabbaabbbaababb abaaabbbabbbaba
abaaabbbabbbaba aaabbbbbaaabbab
aaabbbbbaaabbab abaaabbaaaabbaa
abaaabbaaaabbaa aaababaaabaaaaa
aaababaaabaaaaa abaabbbababaaba
abaabbbababaaba aababbbbaabaaba
aababbbbaabaaba aaababaabbababb
aaababaabbababb aabbaaaaabaabab
aabbaaaaabaabab aaabbbabaabbabb
aaabbbabaabbabb aabbababbababaa
aabbababbababaa abababbabbaabaa
abababbabbaabaa aabaabbabaababa
aabaabbabaababa abaaabbbaabaabb
abaaabbbaabaabb aaaabaaabbaabaa
aaaabaaabbaabaa abaaaaaaababbab
abaaaaaaababbab ababbaabbaabaab
ababbaabbaabaab ababaabbbabbaaa
ababaabbbabbaaa ababbbaaaaababb
ababbbaaaaababb aaabbabaaaaabba
aaabbabaaaaabba aabbbabbaaaabaa
aabbbabbaaaabaa aabaabaaaabaaab
aabaabaaaabaaab aabbaaabbbabbba
aabbaaabbbabbba aaaaaabaababbbb
aaaaaabaababbbb aabababbaaaaabb
aabababbaaaaabb aabbaabbaabbbba
aabbaabbaabbbba ababaaabbbaaabb
ababaaabbbaaabb abaaabababababb
abaaabababababb aabbbbbabaaabba
aabbbbbabaaabba ababababbaaabba
ababababbaaabba abaaabababbaaba
abaaabababbaaba abaaabbaaababbb
abaaabbaaababbb aaababbabaaabab
aaababbabaaabab abaaabbbaababaa
abaaabbbaababaa aabbbaabbaabbbb
aabbbaabbaabbbb aabababbbbabbab
aabababbbbabbab aaabaaaaaababaa
aaabaaaaaababaa ababaabaabbaaba
ababaabaabbaaba aabbbbbbbababbb
aabbbbbbbababbb aaabaaababaaabb
aaabaaababaaabb aababbababbbbbb
aababbababbbbbb ababaabbbaabbba
ababaabbbaabbba abaaaaaaaabbaaa
abaaaaaaaabbaaa aaabbabbaaabbbb
aaabbabbaaabbbb aaaaaaabaaaaaab
aaaaaaabaaaaaab aabbbabbaaabbba
aabbbabbaaabbba aaababbbabaabab
aaababbbabaabab aaaababababbaab
aaaababababbaab abaaabbbbbaabaa
abaaabbbbbaabaa aaabbabbbabbbbb
aaabbabbbabbbbb ababbbabaabaabb
ababbbabaabaabb aababbbababaaba
aababbbababaaba aabaabbaabbaaab
aabaabbaabbaaab aabbaabbbababbb
aabbaabbbababbb aaaaabbbaaabaaa
aaaaabbbaaabaaa aaabbbabaabbbba
aaabbbabaabbbba aabbbababaaabba
aabbbababaaabba aababaaaaaababa
aababaaaaaababa aabbabaaababbba
aabbabaaababbba aaababaaaabbbba
aaababaaaabbbba ababababbbbbbbb
ababababbbbbbbb aaabbbabababaaa
aaabbbabababaaa aabbbaaaaababab
aabbbaaaaababab aababbbbababaaa
aababbbbababaaa abaaaabababbbbb
abaaaabababbbbb aababaaabbaabaa
aababaaabbaabaa aabababaaaabbbb
aabababaaaabbbb aaabbabaabbabaa
aaabbabaabbabaa abaaabbaabbabba
abaaabbaabbabba abaaabbbbbbabba
abaaabbbbbbabba abaabbaabaaabaa
abaabbaabaaabaa ababababababbbb
ababababababbbb abababaaabaaaaa
abababaaabaaaaa ababaaaabbaabab
ababaaaabbaabab aabbaabbbbabbbb
aabbaabbbbabbbb abaabbbaabaabab
abaabbbaabaabab ababbaaabbabaaa
ababbaaabbabaaa abaabaabbaaaaab
abaabaabbaaaaab abababbabaaabbb
abababbabaaabbb aabbaababbaabbb
aabbaababbaabbb aaaabababaaabbb
aaaabababaaabbb abaabbababbabaa
abaabbababbabaa aababaabbaaabaa
aababaabbaaabaa abaabbabbaabbba
abaabbabbaabbba aabaaaabbaaabab
aabaaaabbaaabab aabbabbbbbbabab
aabbabbbbbbabab aaaaaaabababbbb
aaaaaaabababbbb aabaabbabbabbaa
aabaabbabbabbaa abaabbbbaabbbba
abaabbbbaabbbba aaabaaaabbaaabb
aaabaaaabbaaabb aaaaaaaabaaaaab
aaaaaaaabaaaaab aaabbbaaabaaabb
aaabbbaaabaaabb aaababaaabbabba
aaababaaabbabba aaabbaababaabba
aaabbaababaabba aabaabbabaabbaa
aabaabbabaabbaa aaaabbbabababbb
aaaabbbabababbb aaaabbaaaabbbbb
aaaabbaaaabbbbb aaabaababbabbba
aaabaababbabbba aabbbabaaaabaab
aabbbabaaaabaab aaaabbaaabaabbb
aaaabbaaabaabbb abaabaaabbabbaa
abaabaaabbabbaa ababaabbaababaa
ababaabbaababaa ababbbaaabaabbb
ababbbaaabaabbb aaaaaabbabbbbba
aaaaaabbabbbbba abaabaaaabbbaab
abaabaaaabbbaab ababbaaaabaaaab
ababbaaaabaaaab aaabbbabbaaabaa
aaabbbabbaaabaa aababaaaababaab
aababaaaababaab aaabaababababab
aaabaababababab ababababaabbbba
ababababaabbbba abaaababbbabbab
abaaababbbabbab aabaaabbbbabbaa
aabaaabbbbabbaa aaaabbbababbbaa
aaaabbbababbbaa aaaabbabbbababb
aaaabbabbbababb aaabaaaabbabbba
aaabaaaabbabbba abaaaabbbbabaab
abaaaabbbbabaab ababaabbababbab
ababaabbababbab abaabaaaaaabbaa
abaabaaaaaabbaa aabbbabababbbab
aabbbabababbbab aabaabbaaaaabba
aabaabbaaaaabba aaaaaabaaabbbbb
aaaaaabaaabbbbb aabbbabaabbbbaa
aabbbabaabbbbaa abaaabbbaabbabb
abaaabbbaabbabb aabaaaabbbbbabb
aabaaaabbbbbabb ababbbaabbaaaab
ababbbaabbaaaab aaaaaabaabbbbab
aaaaaabaabbbbab ababbbabaaaabbb
ababbbabaaaabbb aabaabbbbaaaabb
aabaabbbbaaaabb abaabbbaaabbbaa
abaabbbaaabbbaa aaabbbabbbbbbab
aaabbbabbbbbbab aaabaaababbbaba
aaabaaababbbaba aabaaaaaabaabab
aabaaaaaabaabab aaaabababbbaaba
aaaabababbbaaba aabaaaabbbbabbb
aabaaaabbbbabbb aaababbbabbbaaa
aaababbbabbbaaa aababaaaabaabab
aababaaaabaabab aabbabaababbaaa
aabbabaababbaaa abababbbbabaabb
abababbbbabaabb abaaaaaaabbbbba
abaaaaaaabbbbba abaaabaaaabbbba
abaaabaaaabbbba aabaaaabaaaaaab
aabaaaabaaaaaab abaabaabaababbb
abaabaabaababbb aabaabbbbaaabba
aabaabbbbaaabba aabbabbbbbaabba
aabbabbbbbaabba ababaaaabababbb
ababaaaabababbb aaabbababbbaaba
aaabbababbbaaba aaaabbbaabbbaab
aaaabbbaabbbaab aaaaabaabababaa
aaaaabaabababaa ababbaabbbbaaba
ababbaabbbbaaba aaabbaaabbbbbab
aaabbaaabbbbbab aabaababaaaabaa
aabaababaaaabaa ababaababbbbbab
ababaababbbbbab abaabbbbbbbbaab
abaabbbbbbbbaab abaabbaabaaabbb
abaabbaabaaabbb aaaaaabbaaababb
aaaaaabbaaababb aabbabbbbbbbbbb
aabbabbbbbbbbbb aaaabbbaabaaaaa
aaaabbbaabaaaaa abaabbabbabaaab
abaabbabbabaaab abaaaaaabbabbaa
abaaaaaabbabbaa aababbaaaabbaaa
aababbaaaabbaaa abaaaaababbbbba
abaaaaababbbbba abaaabbaaabbaba
abaaabbaaabbaba aaaababababbbab
aaaababababbbab aaaaabbababbaaa
aaaaabbababbaaa aaabbbbbaaabbaa
aaabbbbbaaabbaa aaaabaaaabaabba
aaaabaaaabaabba aaaaaaabaaaaaba
aaaaaaabaaaaaba aabbaaaaabaaabb
aabbaaaaabaaabb aabaaabbbbabaaa
aabaaabbbbabaaa aaaaabbbbbbabaa
aaaaabbbbbbabaa aaaababaaababaa
aaaababaaababaa ababbbaaabbabaa
ababbbaaabbabaa aaaabbabaabbaaa
aaaabbabaabbaaa aaabbaababbaaba
aaabbaababbaaba aababbbabaababa
aababbbabaababa aabaabbabaaabaa
aabaabbabaaabaa ababbaaabbaaaab
ababbaaabbaaaab abaababbaabbbab
abaababbaabbbab aabbbaabbabbaba
aabbbaabbabbaba aabaabbbababaaa
aabaabbbababaaa abaababbabbaaba
abaababbabbaaba aaabbaabbbbbbab
aaabbaabbbbbbab aabbaabbbbbbaaa
aabbaabbbbbbaaa abaaababababbba
abaaababababbba aababaaabaabbbb
aababaaabaabbbb abaabaabaababab
abaabaabaababab aabbbaabbabbbba
aabbbaabbabbbba abaaaaaaabbbbab
abaaaaaaabbbbab aabaabbaabaaaba
aabaabbaabaaaba aaaababaabbaaba
aaaababaabbaaba aabbbabbaabaabb
aabbbabbaabaabb aabaabbbabaaabb
aabaabbbabaaabb aabbaabaababbbb
aabbaabaababbbb abaabbbbbbbbbbb
